id_usuario,direccion_estacion_origen,direccion_estacion_destino,duracion_recorrido,distancia,dia
104983,Acevedo 220 y padilla,Armenia 1525 y Gorriti,753,1615.25,Miércoles
363325,Fitz Roy & Gorriti,Armenia 1525 y Gorriti,983,987.48,Domingo
339543,2908 Salcedo & Dean Funes,México & Lima,1200,2850.16,Jueves
530432,2133 Figueroa Alcorta,Av. Pres. Figueroa Alcorta 2120,2571,69.23,Lunes
6618,"Ayacucho &Peron, Juan Domingo, Tte. General","1226 Ecuador & Mansilla, Lucio Norberto, General",570,1533.33,Domingo
6618,"Ayacucho &Peron, Juan Domingo, Tte. General","1226 Ecuador & Mansilla, Lucio Norberto, General",497,1533.33,Sábado
6618,"Ayacucho &Peron, Juan Domingo, Tte. General","1226 Ecuador & Mansilla, Lucio Norberto, General",566,1533.33,Lunes
6618,"Ayacucho &Peron, Juan Domingo, Tte. General","1226 Ecuador & Mansilla, Lucio Norberto, General",524,1533.33,Sábado
6618,"Ayacucho &Peron, Juan Domingo, Tte. General","1226 Ecuador & Mansilla, Lucio Norberto, General",420,1533.33,Martes
239665,394 Rawson & Potosi,"1226 Ecuador & Mansilla, Lucio Norberto, General",1186,2389.15,Sábado
6618,Ayacucho 595,"1226 Ecuador & Mansilla, Lucio Norberto, General",434,1083.5,Sábado
6618,Ayacucho 595,"1226 Ecuador & Mansilla, Lucio Norberto, General",397,1083.5,Domingo
6618,Ayacucho 595,"1226 Ecuador & Mansilla, Lucio Norberto, General",331,1083.5,Miércoles
6618,Ayacucho 595,"1226 Ecuador & Mansilla, Lucio Norberto, General",388,1083.5,Martes
6618,Marcelo T. de Alvear & Rodriguez Peña,"1226 Ecuador & Mansilla, Lucio Norberto, General",6213,1183.39,Martes
530432,"Santa Fe Av. & Bullrich, Int. Av.",Moreno & Av Paseo Colon,3337,6509.39,Viernes
234744,"Villaflor, Azucena & Dealessi, Pierina",Moreno & Av Paseo Colon,542,408.1,Domingo
571607,Guemes 3330 & Coronel Diaz,Beruti & Ecuador,3159,852.02,Miércoles
571607,"1226 Ecuador & Mansilla, Lucio Norberto, General",Beruti & Ecuador,4949,475.02,Sábado
66950,2080 Austria,Beruti & Ecuador,2646,443.53,Miércoles
571607,Arenales y Aguero,Beruti & Ecuador,4165,358.6,Viernes
571607,3082 Cabello,Beruti & Ecuador,3392,1107.8,Sábado
66950,Pres. José Evaristo Uriburu 987,Beruti & Ecuador,781,639.81,Miércoles
37803,Pres. José Evaristo Uriburu 987,Beruti & Ecuador,410,639.81,Jueves
339530,Beruti & Ecuador,Riobamba 1264 & Juncal,1195,794.47,Miércoles
104983,Av. Guzman 1100 & Av. Corrientes,Av Guzman 129 & Leiva,266,669,Martes
355796,Cerrito 990 y Av. Marcelo T. De Alvear,Godoy Cruz  3279 y Libertador,1117,4406.01,Martes
315844,Armenia 2315 & Charcas,Godoy Cruz  3279 y Libertador,2119,1397.83,Lunes
355796,Godoy Cruz  3279 y Libertador,Godoy Cruz  3279 y Libertador,1046,0,Martes
218938,Godoy Cruz  3279 y Libertador,Godoy Cruz  3279 y Libertador,3222,0,Sábado
355796,1413 Araoz & Gorriti CABA,Godoy Cruz  3279 y Libertador,644,2292.63,Sábado
355796,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",Godoy Cruz  3279 y Libertador,586,1920.12,Lunes
355796,3508 Carcova,Godoy Cruz  3279 y Libertador,756,2522.33,Jueves
355796,3050 Ugarteche,Godoy Cruz  3279 y Libertador,343,1189.44,Jueves
83670,Av. Pres. Figueroa Alcorta 2120,Godoy Cruz  3279 y Libertador,1989,3019.84,Sábado
264425,o´higins 1327,Godoy Cruz  3279 y Libertador,1166,2428.04,Domingo
515826,Av. Patricias Argentinas & Estivao,"441 Bulnes & Peron, Juan Domingo, Tte. General",910,1369.18,Miércoles
299514,3912 Humahuaca,"441 Bulnes & Peron, Juan Domingo, Tte. General",489,489.99,Lunes
234640,Guayaquil & Doblas,2875 Moreno,939,2397.07,Domingo
234640,"4300 Yrigoyen, Hipolito Av.",2875 Moreno,945,1963.94,Jueves
172209,3822 Guemes,3302 Guardia Vieja & Aguero,2826,1763.12,Jueves
279904,"Aguero & Mansilla, Lucio Norberto, General","Lavalle & Acuña De Figueroa, Francisco",526,1230.1,Martes
339543,1590 Lavalle,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",458,684.95,Viernes
339543,"3024 Calvo, Carlos","Cevallos, Virrey& Yrigoyen, Hipolito Av.",1089,2206.84,Viernes
370355,Machaca Guemes 350,Reconquista 76 & Cordoba Av.,510,1084.9,Sábado
370355,Moreno & Av Paseo Colon,Reconquista 76 & Cordoba Av.,797,1452.21,Sábado
594006,J.Ramirez de Velasco 285,Av. Patricias Argentinas & Estivao,2513,861.94,Domingo
339543,"3024 Calvo, Carlos",Av. Patricias Argentinas & Estivao,1148,2835.35,Lunes
132289,Quintino Bocayuva y Don Bosco,"Juncal & Salguero, Jeronimo",1292,3353.08,Sábado
239665,780 Malabia & Loyola,"Juncal & Salguero, Jeronimo",1510,2542.06,Jueves
239665,780 Malabia & Loyola,"Juncal & Salguero, Jeronimo",1178,2542.06,Miércoles
310414,Godoy Cruz  3279 y Libertador,3082 Cabello,4403,1763.8,Sábado
6618,"1226 Ecuador & Mansilla, Lucio Norberto, General",141 Jose Maria Moreno,2880,3895.51,Miércoles
549521,"4300 Yrigoyen, Hipolito Av.",141 Jose Maria Moreno,1602,914.45,Sábado
239665,"Juncal & Salguero, Jeronimo",780 Malabia & Loyola,1192,2542.06,Sábado
239665,"Juncal & Salguero, Jeronimo",780 Malabia & Loyola,1318,2542.06,Miércoles
299514,Av. Rivadavia & Del Barco Centenera,780 Malabia & Loyola,1684,2799.08,Lunes
41766,1078 Gurruchaga,780 Malabia & Loyola,1591,329.59,Domingo
37803,519 Pasteur,Pres. José Evaristo Uriburu 987,340,692.77,Martes
72263,Marcelo T. de Alvear & Rodriguez Peña,Pres. José Evaristo Uriburu 987,339,661.13,Viernes
66950,2080 Austria,"2300 Diaz, Cnel. Av. & French",2043,478.68,Miércoles
580651,"2300 Diaz, Cnel. Av. & French","2300 Diaz, Cnel. Av. & French",2919,0,Miércoles
355796,"Av. Del Libertador, 3260","2300 Diaz, Cnel. Av. & French",428,1240.34,Jueves
293521,Zapiola & Dorrego,"2300 Diaz, Cnel. Av. & French",2759,3180.68,Lunes
37803,Marcelo T. de Alvear & Rodriguez Peña,"2300 Diaz, Cnel. Av. & French",786,1965.48,Jueves
299514,"Santa Fe Av. & Bullrich, Int. Av.",3912 Humahuaca,2053,2812.59,Lunes
299514,Juana De Ibarbourou & Av Patricias Argentinas,803 José Marmol,1765,2294.8,Miércoles
216999,Godoy Cruz  3279 y Libertador,"Figueroa Alcorta, Pres. Av. & Dorrego Av.",4589,821.59,Domingo
248566,2939 Cavia,Maure 1819,3089,2904.02,Lunes
264425,o´higins 1327,Maure 1819,737,882.86,Jueves
374441,o´higins 1327,Maure 1819,548,882.86,Sábado
172209,"Uriburu Jose E., Pres. & Paraguay","Salguero, Jeronimo & Mansilla, Lucio Norberto, General",1161,1858.78,Miércoles
172209,3912 Humahuaca,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",947,1445.59,Miércoles
239665,780 Malabia & Loyola,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",832,1917.38,Viernes
239665,780 Malabia & Loyola,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",800,1917.38,Lunes
147100,Pres. José Evaristo Uriburu 987,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",882,1787.27,Miércoles
172209,Sarandi 1010,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",1659,4016.6,Martes
460847,2001 Donado,Amenabar y Mendoza,982,1884.04,Jueves
310414,1350 Posadas,2939 Cavia,1104,2385.07,Miércoles
546235,"2185 Ravignani, Emilio, Dr. & Guatemala","2185 Ravignani, Emilio, Dr. & Guatemala",393,0,Jueves
101918,1321 Villarroel & Humboldt CABA,"2185 Ravignani, Emilio, Dr. & Guatemala",900,1866.48,Viernes
234744,1785 Espinosa,"2185 Ravignani, Emilio, Dr. & Guatemala",1798,3520.87,Jueves
579553,"Argerich & Flores, Venancio, Gral.","2185 Ravignani, Emilio, Dr. & Guatemala",4053,6789.35,Viernes
234640,2875 Moreno,Quintino Bocayuva y Don Bosco,569,1553.59,Lunes
363325,519 Pasteur,3508 Carcova,3251,1618.19,Martes
90978,3508 Carcova,3508 Carcova,1869,0,Viernes
239665,"Juncal & Salguero, Jeronimo",Maza y don Bosco,1680,3067.11,Lunes
10781,Av. Patricias Argentinas & Estivao,Av. Rivadavia & Del Barco Centenera,497,1602.06,Viernes
10781,Av. Patricias Argentinas & Estivao,Av. Rivadavia & Del Barco Centenera,1542,1602.06,Sábado
10781,Juana De Ibarbourou & Av Patricias Argentinas,Av. Rivadavia & Del Barco Centenera,671,1929.44,Viernes
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,1421,1417.15,Martes
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,497,1417.15,Domingo
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,452,1417.15,Jueves
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,429,1417.15,Miércoles
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,454,1417.15,Martes
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,873,1417.15,Domingo
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,984,1417.15,Miércoles
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,478,1417.15,Martes
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,441,1417.15,Domingo
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,467,1417.15,Sábado
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,432,1417.15,Viernes
549521,"4300 Yrigoyen, Hipolito Av.",Av. Rivadavia & Del Barco Centenera,444,1417.15,Jueves
289069,Peru  1016,Peru  1016,569,0,Martes
83670,902 Esmeralda,Peru  1016,1479,2575.13,Sábado
132289,3508 Carcova,Zapiola & Dorrego,1614,3035.29,Sábado
264425,1399 Moldes,Zapiola & Dorrego,714,1608.89,Domingo
264425,1399 Moldes,Zapiola & Dorrego,759,1608.89,Sábado
508897,2001 Donado,Zapiola & Dorrego,1250,3093.5,Miércoles
278659,Iguazu & Uspallata,Fitz Roy & Gorriti,2502,6762.11,Sábado
37803,Marcelo T. de Alvear & Rodriguez Peña,Peña & Azcuenaga,632,878.5,Martes
220360,Avenida Rivadavia y Fray Cayetano,Juana De Ibarbourou & Av Patricias Argentinas,3297,3804.65,Viernes
41766,Juana De Ibarbourou & Av Patricias Argentinas,Juana De Ibarbourou & Av Patricias Argentinas,1440,0,Lunes
414238,Lima 750,3568 Estados Unidos & Boedo Av.,833,3199.32,Jueves
299514,"2300 Diaz, Cnel. Av. & French",3568 Estados Unidos & Boedo Av.,1793,4168.06,Jueves
549521,Guayaquil & Doblas,3568 Estados Unidos & Boedo Av.,578,1443.45,Lunes
414238,3302 Guardia Vieja & Aguero,3568 Estados Unidos & Boedo Av.,1317,2204.82,Sábado
299514,"Lavalle & Acuña De Figueroa, Francisco",3568 Estados Unidos & Boedo Av.,1186,2742.63,Miércoles
151337,1590 Lavalle,Libertad & lavalle,1049,555.39,Miércoles
373567,3051 San Martin De Tours,Libertad & lavalle,1380,3372.68,Jueves
66950,2080 Austria,2080 Austria,618,0,Viernes
66950,2080 Austria,2080 Austria,4454,0,Miércoles
66950,"2300 Diaz, Cnel. Av. & French",2080 Austria,618,478.68,Miércoles
571607,"2300 Diaz, Cnel. Av. & French",2080 Austria,3001,478.68,Lunes
66950,"2300 Diaz, Cnel. Av. & French",2080 Austria,196,478.68,Miércoles
66950,"Lavalle & Acuña De Figueroa, Francisco",2080 Austria,812,1985.96,Miércoles
72263,"Ayacucho &Peron, Juan Domingo, Tte. General",Marcelo T. de Alvear & Rodriguez Peña,725,1172.96,Lunes
72263,Pres. José Evaristo Uriburu 987,Marcelo T. de Alvear & Rodriguez Peña,280,661.13,Miércoles
72263,Pres. José Evaristo Uriburu 987,Marcelo T. de Alvear & Rodriguez Peña,258,661.13,Viernes
37803,Marcelo T. de Alvear & Rodriguez Peña,Marcelo T. de Alvear & Rodriguez Peña,1591,0,Miércoles
101918,1321 Villarroel & Humboldt CABA,519 Pasteur,1851,4315.26,Miércoles
370355,"Villaflor, Azucena & Paine, Aime",Armenia 2315 & Charcas,5514,6215.58,Lunes
6618,"Ayacucho &Peron, Juan Domingo, Tte. General",684 Boulogne Sur Mer & Tucuman,365,1184.39,Martes
6618,"Ayacucho &Peron, Juan Domingo, Tte. General",684 Boulogne Sur Mer & Tucuman,367,1184.39,Sábado
508897,"1483 Quinteros, Lidoro J. Av.",Costa Rica & Armenia,1453,4611.54,Viernes
339543,"3024 Calvo, Carlos",708 Pasco & Chile,2361,1072.18,Domingo
332895,Fitz Roy & Gorriti,925 Yatay& Humahuaca,1647,1978.99,Sábado
101918,"Juncal & Salguero, Jeronimo",925 Yatay& Humahuaca,1087,2398.43,Viernes
207716,Godoy Cruz  3279 y Libertador,o´higins 1327,1360,2428.04,Sábado
293093,3082 Cabello,o´higins 1327,1608,4091.42,Domingo
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",396,1417.15,Viernes
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",423,1417.15,Jueves
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",428,1417.15,Jueves
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",430,1417.15,Miércoles
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",432,1417.15,Domingo
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",409,1417.15,Jueves
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",451,1417.15,Domingo
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",417,1417.15,Viernes
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",494,1417.15,Jueves
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",512,1417.15,Domingo
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",465,1417.15,Viernes
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",491,1417.15,Jueves
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",427,1417.15,Martes
549521,Av. Rivadavia & Del Barco Centenera,"4300 Yrigoyen, Hipolito Av.",2,1417.15,Jueves
549521,141 Jose Maria Moreno,"4300 Yrigoyen, Hipolito Av.",279,914.45,Viernes
549521,141 Jose Maria Moreno,"4300 Yrigoyen, Hipolito Av.",329,914.45,Viernes
549521,141 Jose Maria Moreno,"4300 Yrigoyen, Hipolito Av.",275,914.45,Martes
13804,80 Larrea,CARLOS PELEGRINI 215,627,1928.19,Domingo
460847,Cordoba 6599,2001 Donado,816,2299.77,Viernes
508897,GARCIA DEL RIO & PINTO,2001 Donado,1113,2622.55,Sábado
508897,GARCIA DEL RIO & PINTO,2001 Donado,791,2622.55,Miércoles
460847,Miller & Monroe,2001 Donado,632,675.48,Viernes
460847,Av. Guzman 1100 & Av. Corrientes,2001 Donado,1473,2373.03,Jueves
508897,"Delgado & Loreto, Virrey",2001 Donado,565,1600.36,Domingo
508897,"Delgado & Loreto, Virrey",2001 Donado,530,1600.36,Domingo
460847,2519 Superi,2001 Donado,516,1135.96,Domingo
460847,2519 Superi,2001 Donado,768,1135.96,Jueves
460847,2519 Superi,2001 Donado,619,1135.96,Miércoles
460847,2519 Superi,2001 Donado,598,1135.96,Martes
460847,2519 Superi,2001 Donado,538,1135.96,Lunes
460847,2519 Superi,2001 Donado,558,1135.96,Miércoles
460847,2519 Superi,2001 Donado,488,1135.96,Viernes
508897,"1483 Quinteros, Lidoro J. Av.",2001 Donado,1340,3189.91,Martes
508897,3050 Ugarteche,2001 Donado,2573,5797.21,Jueves
508897,Zapiola & Dorrego,2001 Donado,1134,3093.5,Miércoles
172047,Amenabar y Mendoza,2001 Donado,2269,1884.04,Viernes
339543,803 José Marmol,"3024 Calvo, Carlos",450,1564.97,Viernes
339543,803 José Marmol,"3024 Calvo, Carlos",1161,1564.97,Sábado
339543,1019 Riglos,"3024 Calvo, Carlos",2170,2682.88,Domingo
339543,México & Lima,"3024 Calvo, Carlos",802,2540.62,Jueves
594006,Av. Patricias Argentinas & Estivao,J.Ramirez de Velasco 285,2317,861.94,Sábado
40998,3822 Guemes,J.Ramirez de Velasco 285,1044,2267.63,Viernes
463200,2516 Pereyra Lucena,Figueroa Alcorta & Sarmiento,4240,1591.43,Jueves
104983,2939 Cavia,Figueroa Alcorta & Sarmiento,1811,697.51,Martes
293093,Av. Pres. Figueroa Alcorta 2120,Figueroa Alcorta & Sarmiento,1011,2292.28,Miércoles
164253,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",1590 Lavalle,1709,2895.05,Sábado
66950,2080 Austria,1590 Lavalle,3207,2128.6,Martes
299514,Bartolome Mitre & Av. Puyrredon,1590 Lavalle,892,1713,Martes
463200,2516 Pereyra Lucena,2516 Pereyra Lucena,7750,0,Sábado
463200,3051 San Martin De Tours,2516 Pereyra Lucena,4546,757.61,Lunes
508978,3051 San Martin De Tours,2516 Pereyra Lucena,4865,757.61,Lunes
172209,"1520 Billinghurst & Mansilla, Lucio Norberto, General","Uriburu Jose E., Pres. & Paraguay",758,1351.14,Miércoles
18702,519 Pasteur,"Uriburu Jose E., Pres. & Paraguay",316,547.13,Martes
299514,"441 Bulnes & Peron, Juan Domingo, Tte. General","Uriburu Jose E., Pres. & Paraguay",1366,2014.39,Lunes
37803,Marcelo T. de Alvear & Rodriguez Peña,"Uriburu Jose E., Pres. & Paraguay",368,677.02,Miércoles
222236,Av. Gaona 2200,Av. Gaona 2200,3269,0,Domingo
234744,1785 Espinosa,Av. Gaona 2200,1555,1099.44,Martes
234744,"1540 Garcia, Juan Agustin",Av. Gaona 2200,1057,1467.17,Lunes
234744,"1540 Garcia, Juan Agustin",Av. Gaona 2200,1334,1467.17,Viernes
234744,"1540 Garcia, Juan Agustin",Av. Gaona 2200,1472,1467.17,Martes
525584,Culpina 121,Av. Gaona 2200,1293,2120.6,Domingo
460847,Triunvirato Av. & Roosevelt Franklin D. Av.,Tronador y Garcia del Rio,2522,2144.56,Sábado
374441,Olleros Av. & Del Libertador Av.,"1798 Matienzo, Benjamin, Teniente",407,593.24,Miércoles
